PlateAppID,startBaseOutState,FinalBaseOutState,PA_EndValue_ExpectedRuns,PA_StartValue_ExpectedRuns,TotalRPrime,R,ChangeExpRuns,BatterID,Singles,Doubles,Triples,HR,BB,SO,FO
ABAM_AUBN_0504201901_PA03AWAY05,E1,G2,0.665254237,1.186792453,0,0,-0.521538216,Mo_Mccull_ABAM_08,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA04HOME01,A0,B0,1.03432282,0.60122373,0,0,0.43309909,Co_Davis0_AUBN_24,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA04HOME02,B0,E0,1.830508475,1.03432282,0,0,0.796185655,Ma_Scheff_AUBN_06,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA04HOME03,E0,E1,1.186792453,1.830508475,0,0,-0.643716022,Ra_Woley0_AUBN_04,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA04HOME04,E1,G2,0.665254237,1.186792453,0,0,-0.521538216,St_Willia_AUBN_41,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA05AWAY01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Dr_Willia_ABAM_55,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA05AWAY02,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Jo_Breaux_ABAM_04,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA06HOME01,A0,C0,1.339933993,0.60122373,0,1,0.738710264,Wi_Hollan_AUBN_17,0,1,0,0,0,0,0
ABAM_AUBN_0504201901_PA06HOME02,C0,C0,1.339933993,1.339933993,1,1,1,Ju_Ward00_AUBN_01,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA06HOME03,C0,D1,0.953947368,1.339933993,0,0,-0.385986625,Ry_Bliss0_AUBN_09,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA06HOME04,D1,D2,0.379194631,0.953947368,0,0,-0.574752738,Ed_Julien_AUBN_10,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA07AWAY01,A0,B0,1.03432282,0.60122373,0,0,0.43309909,Ty_Ras000_ABAM_05,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA07AWAY02,B0,E0,1.830508475,1.03432282,0,0,0.796185655,Ko_Morris_ABAM_50,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA07AWAY04,E0,D2,0.379194631,1.830508475,0,0,-1.451313844,Br_Auerba_ABAM_07,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA08HOME01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ma_Scheff_AUBN_06,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA08HOME02,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Ra_Woley0_AUBN_04,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA09AWAY01,A0,F0,1.552083333,0.60122373,0,2,0.950859604,Mo_Mccull_ABAM_08,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA09AWAY04,F0,G0,2.12345679,1.552083333,1,2,1.571373457,Dr_Willia_ABAM_55,0,1,0,0,0,0,0
ABAM_AUBN_0504201901_PA09AWAY05,G0,D1,0.953947368,2.12345679,1,1,-0.169509422,Jo_Breaux_ABAM_04,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA09AWAY06,D1,D2,0.379194631,0.953947368,0,0,-0.574752738,Ko_Robins_ABAM_24,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA10HOME01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ka_Howell_AUBN_16,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA10HOME02,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Wi_Hollan_AUBN_17,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA11AWAY01,A0,A1,0.317337461,0.60122373,0,1,-0.283886268,Ko_Morris_ABAM_50,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA11AWAY02,A1,B1,0.663006757,0.317337461,0,1,0.345669295,Br_Auerba_ABAM_07,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA11AWAY04,B1,B2,0.268656716,0.663006757,0,1,-0.39435004,TJ_Reeves_ABAM_22,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA12HOME01,A0,B0,1.03432282,0.60122373,0,1,0.43309909,Ry_Bliss0_AUBN_09,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA12HOME02,B0,C1,0.813263525,1.03432282,0,1,-0.221059295,Ed_Julien_AUBN_10,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA12HOME03,C1,B1,0.663006757,0.813263525,1,1,0.849743231,Co_Davis0_AUBN_24,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA12HOME05,B1,B2,0.268656716,0.663006757,0,0,-0.39435004,Ma_Scheff_AUBN_06,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA13AWAY01,A0,B0,1.03432282,0.60122373,0,0,0.43309909,Ty_Gentry_ABAM_28,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA13AWAY04,C0,D1,0.953947368,1.339933993,0,0,-0.385986625,Dr_Willia_ABAM_55,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA13AWAY05,D1,D2,0.379194631,0.953947368,0,0,-0.574752738,Jo_Breaux_ABAM_04,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA13AWAY06,D2,F2,0.571929825,0.379194631,0,0,0.192735194,Ko_Robins_ABAM_24,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA14HOME01,A0,B0,1.03432282,0.60122373,0,0,0.43309909,St_Willia_AUBN_41,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA14HOME03,B0,A2,0.117848411,1.03432282,0,0,-0.916474409,Ev_Lau000_AUBN_02,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA14HOME04,A2,B2,0.268656716,0.117848411,0,0,0.150808306,Wi_Hollan_AUBN_17,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA14HOME05,B2,E2,0.49833887,0.268656716,0,0,0.229682154,Ju_Ward00_AUBN_01,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA14HOME06,E2,H2,0.847161572,0.49833887,0,0,0.348822702,Ry_Bliss0_AUBN_09,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA15AWAY02,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ko_Morris_ABAM_50,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA15AWAY03,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Br_Auerba_ABAM_07,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA15AWAY04,A2,B2,0.268656716,0.117848411,0,0,0.150808306,TJ_Reeves_ABAM_22,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA16HOME02,A0,B0,1.03432282,0.60122373,0,4,0.43309909,Co_Davis0_AUBN_24,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA16HOME03,B0,B1,0.663006757,1.03432282,0,4,-0.371316063,Ma_Scheff_AUBN_06,0,0,0,0,0,0,1
ABAM_AUBN_0504201901_PA16HOME04,B1,E1,1.186792453,0.663006757,0,4,0.523785696,Ra_Woley0_AUBN_04,0,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA16HOME06,G1,H1,1.747474747,1.522123894,0,4,0.225350854,St_Willia_AUBN_41,0,0,0,0,1,0,0
ABAM_AUBN_0504201901_PA16HOME08,H1,H2,0.847161572,1.747474747,0,4,-0.900313175,Br_Moore0_AUBN_19,0,0,0,0,0,1,0
ABAM_AUBN_0504201901_PA16HOME09,H2,F2,0.571929825,0.847161572,2,4,1.724768253,Wi_Hollan_AUBN_17,1,0,0,0,0,0,0
ABAM_AUBN_0504201901_PA16HOME10,F2,C2,0.341530055,0.571929825,2,2,1.76960023,Ju_Ward00_AUBN_01,0,1,0,0,0,0,0
