Sequence,GameID,PlateAppID,NumComponents,startOuts,startOnFirst,startOnSecond,startOnThird,startBS,startBOS,endOuts,endOnFirst,endOnSecond,endOnThird,endBS,endBOS,RPrime,R
80,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA12HOME08,1,2,Cabrera,NA,NA,B,B2,3,Cabrera,NA,NA,B,B3,0,0
81,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA13AWAY03,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
82,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA13AWAY04,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
83,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA13AWAY05,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
84,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA14HOME03,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
85,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA14HOME04,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
86,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA14HOME05,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
87,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
88,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
89,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY03,1,2,NA,NA,NA,A,A2,2,Curtis,NA,NA,B,B2,0,0
90,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY04,2,2,Curtis,NA,NA,B,B2,2,Daniel,Curtis,NA,E,E2,0,0
91,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA15AWAY05,1,2,Daniel,Curtis,NA,E,E2,3,Daniel,Curtis,NA,E,E3,0,0
92,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME01,1,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0,0
93,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME02,2,0,Smith,NA,NA,B,B0,0,Watson,Smith,NA,E,E0,0,0
94,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME03,3,0,Watson,Smith,NA,E,E0,1,Duplantis,NA,Smith,F,F1,0,0
95,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME04,1,1,Duplantis,NA,Smith,F,F1,2,Duplantis,NA,Smith,F,F2,0,0
96,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA16HOME06,1,2,Duplantis,NA,Smith,F,F2,3,Duplantis,NA,Smith,F,F3,0,0
97,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY02,2,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,1
98,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY03,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,1
99,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY04,1,2,NA,NA,NA,A,A2,2,Reed,NA,NA,B,B2,0,1
100,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY05,2,2,Reed,NA,NA,B,B2,2,Adams,Reed,NA,E,E2,0,1
101,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY06,3,2,Adams,Reed,NA,E,E2,2,Schultz,NA,Adams,F,F2,1,1
102,KENT_LSTU_0316201902,KENT_LSTU_0316201902_PA17AWAY07,1,2,Schultz,NA,Adams,F,F2,3,Schultz,NA,Adams,F,F3,0,0
