PlayerID,ID,GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
Br_Auerba_ABAM_07,97,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA11AWAY05,away,Auerbach,1,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
Mo_Mccull_ABAM_08,98,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA11AWAY06,away,Mccullough,3,out,1,0,-1,0,0,1,rf,c,0,0,0,0,0,0
Br_Auerba_ABAM_07,99,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA11AWAY06,away,Auerbach,1,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Ry_Bliss0_AUBN_09,100,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA12HOME02,home,Bliss,2,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
Ry_Bliss0_AUBN_09,101,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA12HOME03,home,Bliss,2,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Ty_Gentry_ABAM_28,102,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA13AWAY03,away,Gentry,4,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,103,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA13AWAY04,away,Gentry,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Jo_Breaux_ABAM_04,104,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA13AWAY05,away,Breaux,6,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
Ko_Robins_ABAM_24,105,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA13AWAY07,away,Robinson,7,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
St_Willia_AUBN_41,106,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA14HOME03,home,Williams,7,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0
Wi_Hollan_AUBN_17,107,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA14HOME05,home,Holland,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ju_Ward00_AUBN_01,108,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA14HOME06,home,Ward,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Wi_Hollan_AUBN_17,109,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA14HOME06,home,Holland,9,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
TJ_Reeves_ABAM_22,110,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA15AWAY06,away,Reeves,2,out,1,0,-1,0,1,1,p,1b,0,0,0,0,0,0
Co_Davis0_AUBN_24,111,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME04,home,Davis,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ra_Woley0_AUBN_04,112,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME05,home,Woley,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
Co_Davis0_AUBN_24,113,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME05,home,Davis,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
St_Willia_AUBN_41,114,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME09,home,Williams,7,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
Ra_Woley0_AUBN_04,115,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME09,home,Woley,6,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Co_Davis0_AUBN_24,116,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME09,home,Davis,4,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Wi_Hollan_AUBN_17,117,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME10,home,Holland,9,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
St_Willia_AUBN_41,118,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA16HOME10,home,Williams,7,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Mo_Mccull_ABAM_08,119,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA17AWAY06,away,Mccullough,3,out,1,0,-1,0,0,1,ss,2b,0,0,0,0,0,0
Ty_Gentry_ABAM_28,120,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA17AWAY07,away,Gentry,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,121,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA17AWAY08,away,Gentry,4,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Jo_Breaux_ABAM_04,122,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA17AWAY10,away,Breaux,6,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
Ko_Robins_ABAM_24,123,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA17AWAY12,away,Robinson,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
LJ_Talley_GEOR_02,1,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA04HOME02,home,Talley,4,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0
Ju_King00_ABAM_36,2,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY02,away,King,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ko_Morris_ABAM_50,3,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY03,away,Morris,9,out,0,0,0,0,0,1,p,2b,0,0,0,0,0,0
Ko_Robins_ABAM_24,4,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY03,away,Robinson,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ju_King00_ABAM_36,5,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY03,away,King,7,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ju_King00_ABAM_36,6,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY04,away,King,7,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Ch_Rogers_GEOR_20,7,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME03,home,Rogers,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ri_King00_GEOR_31,8,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME04,home,King,2,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
Ch_Rogers_GEOR_20,9,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME04,home,Rogers,9,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Aa_Schunk_GEOR_22,10,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME05,home,Schunk,3,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ri_King00_GEOR_31,11,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME05,home,King,2,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Jo_Cable0_GEOR_42,12,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME06,home,Cable,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
Aa_Schunk_GEOR_22,13,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME06,home,Schunk,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
TJ_Reeves_ABAM_22,14,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA07AWAY04,away,Reeves,5,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
TJ_Reeves_ABAM_22,15,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA07AWAY05,away,Reeves,5,advanced,2,3,1,0,0,0,NA,NA,0,0,0,1,0,0
Ma_Meadow_GEOR_30,16,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA08HOME03,home,Meadows,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
Mo_Mccull_ABAM_08,17,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA11AWAY03,away,Mccullough,2,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
TJ_Reeves_ABAM_22,18,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA11AWAY05,away,Reeves,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Mo_Mccull_ABAM_08,19,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA11AWAY05,away,Mccullough,2,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Ca_Shephe_GEOR_07,20,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME02,home,Shepherd,6,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Pa_Sulliv_GEOR_14,21,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME03,home,Sullivan,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ma_Meadow_GEOR_30,22,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME06,home,Meadows,8,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
Pa_Sulliv_GEOR_14,23,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME06,home,Sullivan,7,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Ca_Shephe_GEOR_07,24,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME06,home,Shepherd,6,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Tu_Maxwel_GEOR_01,25,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME07,home,Maxwell,1,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
Co_Tate00_GEOR_23,26,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME09,home,Tate,9,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ma_Meadow_GEOR_30,27,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME09,home,Meadows,8,out,3,0,-3,0,0,1,2b,c.,0,0,0,0,0,0
LJ_Talley_GEOR_02,28,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA14HOME05,home,Talley,4,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
TJ_Reeves_ABAM_22,29,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA15AWAY05,away,Reeves,5,out,1,0,-1,0,0,1,ss unassisted,ev,0,0,0,0,0,0
Tu_Maxwel_GEOR_01,30,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA16HOME04,home,Maxwell,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ri_King00_GEOR_31,31,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA16HOME05,home,King,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Tu_Maxwel_GEOR_01,32,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA16HOME05,home,Maxwell,1,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Aa_Schunk_GEOR_22,33,ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA16HOME07,home,Schunk,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
