"","PlayerID","ID","GameID","PlateAppID","HomeAway","RunnerName","Hole","Action","StartBase","EndBase","BasesAdded","SB","SBA","OutsAdded","Fielder1","Fielder2","RunsAdded","PO","POA","WP","PB","AOE"
"3552","Ro_Jordan_MSST_04",233013420,"LSTU_MSST_0328201901","LSTU_MSST_0328201901_PA10HOME05","home","Jordan",7,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3553","Du_Skelto_MSST_08",233013421,"LSTU_MSST_0328201901","LSTU_MSST_0328201901_PA10HOME05","home","Skelton",6,"out",1,0,-1,0,0,1,"cf","3b",0,0,0,0,0,0
"6893","Ja_Nesbit_ARKS_05",233017123,"MIZZ_ARKS_0316201901","MIZZ_ARKS_0316201901_PA08HOME05","home","Nesbit",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"6894","Ma_Goodhe_ARKS_10",233017124,"MIZZ_ARKS_0316201901","MIZZ_ARKS_0316201901_PA08HOME05","home","Goodheart",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"2948","Ch_Rogers_GEOR_20",233013551,"MIZZ_GEOR_0420201901","MIZZ_GEOR_0420201901_PA16HOME03","home","Rogers",9,"out",1,0,-1,0,0,1,"cf","ss",0,0,0,0,0,0
"2949","Za_Rogers_ABAM_27",233013551,"MIZZ_GEOR_0420201901","MIZZ_GEOR_0420201901_PA16HOME03","home","Rogers",9,"out",1,0,-1,0,0,1,"cf","ss",0,0,0,0,0,0
"2950","We_Rogers_ARKS_37",233013551,"MIZZ_GEOR_0420201901","MIZZ_GEOR_0420201901_PA16HOME03","home","Rogers",9,"out",1,0,-1,0,0,1,"cf","ss",0,0,0,0,0,0
"3111","Lo_Foster_TXAM_05",233013712,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME05","home","Foster",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3112","Ty_Colema_TXAM_01",233013713,"MIZZ_TXAM_0330201901","MIZZ_TXAM_0330201901_PA12HOME05","home","Coleman",7,"out",1,0,-1,0,0,1,"out at third rf","3b",0,0,0,0,0,0
"3220","Ka_Misner_MIZZ_30",233013821,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY03","away","Misner",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"3221","Ch_Cornel_MIZZ_07",233013822,"MIZZ_VAND_0511201901","MIZZ_VAND_0511201901_PA11AWAY03","away","Cornelius",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3298","Ja_Nesbit_ARKS_05",233013935,"MSST_ARKS_0419201901","MSST_ARKS_0419201901_PA14HOME09","home","Nesbit",7,"scored",1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
"3704","Ca_Opitz0_ARKS_12",233013934,"MSST_ARKS_0419201901","MSST_ARKS_0419201901_PA14HOME09","home","Opitz",8,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"3748","Jo_Hatche_MSST_10",233014022,"MSST_FLOR_0316201901","MSST_FLOR_0316201901_PA11AWAY06","away","Hatcher",7,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"3749","Du_Skelto_MSST_08",233014023,"MSST_FLOR_0316201901","MSST_FLOR_0316201901_PA11AWAY06","away","Skelton",6,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3767","Wi_Dalton_FLOR_16",233014041,"MSST_FLOR_0316201901","MSST_FLOR_0316201901_PA14HOME09","home","Dalton",5,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"3768","Ke_Calila_FLOR_06",233014042,"MSST_FLOR_0316201901","MSST_FLOR_0316201901_PA14HOME09","home","Calilao",4,"out",1,0,-1,0,0,1,"ss","2b",0,0,0,0,0,0
"3797","Ta_Allen0_MSST_05",233014091,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY04","away","Allen",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"3798","Jo_Westbu_MSST_11",233014092,"MSST_OMSS_0423201901","MSST_OMSS_0423201901_PA13AWAY04","away","Westburg",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,1
"3615","Ja_Mangum_MSST_15",233014154,"MSST_OMSS_0511201901","MSST_OMSS_0511201901_PA13AWAY05","away","Mangum",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
