,PlayerID,ID,GameID,PlateAppID,HomeAway,BatterName,BatterHole,CountBalls,CountStrikes,pitchBalls,pitchFouls,pitchKSwing,pitchKLook,pitchBIPs,Pitches,BIP,H,Bases,Singles,Doubles,Triples,HR,HitLocation,HitQuality,HitType,INFH,FO,FOLocation,FOQuality,FOType,DP,DPType,Reach,RBOE,FC,SAC,SF,BB,IBB,UBB,SO,KSwing,KLook,UCTS,SOReach,HBP,TrueOutcome
4436,Co_Acton0_FLOR_22,4201,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA01AWAY02,away,Acton,2,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
3087,Ne_Maldon_FLOR_27,4114,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA01AWAY03,away,Maldonado,3,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 3b,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4437,Ne_Maldon_FLOR_27,4202,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA01AWAY03,away,Maldonado,3,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 3b,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3088,Ry_Olenek_OMSS_02,4115,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA02HOME01,home,Olenek,1,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,foul,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4438,Ry_Olenek_OMSS_02,4203,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA02HOME01,home,Olenek,1,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,foul,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3089,Gr_Kessin_OMSS_15,4116,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA02HOME02,home,Kessinger,2,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,hard,line drive,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4439,Gr_Kessin_OMSS_15,4204,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA02HOME02,home,Kessinger,2,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,hard,line drive,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1568,Ty_Keenan_OMSS_10,4205,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA02HOME03,home,Keenan,3,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,hard,line drive,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5422,Ty_Keenan_OMSS_10,4117,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA02HOME03,home,Keenan,3,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,hard,line drive,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1558,Ke_Calila_FLOR_06,4118,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY01,away,Calilao,4,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,up the middle,hard,ground ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1569,Ke_Calila_FLOR_06,4206,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY01,away,Calilao,4,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,up the middle,hard,ground ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1559,Au_Langwo_FLOR_44,4119,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY02,away,Langworthy,5,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,right field,hard,fly ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,Au_Langwo_FLOR_44,4207,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY02,away,Langworthy,5,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,right field,hard,fly ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560,Wi_Dalton_FLOR_16,4120,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY03,away,Dalton,6,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1571,Wi_Dalton_FLOR_16,4208,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY03,away,Dalton,6,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1561,Ju_Fabian_FLOR_04,4121,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY04,away,Fabian,7,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1572,Ju_Fabian_FLOR_04,4209,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY04,away,Fabian,7,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1562,Kr_Armstr_FLOR_34,4122,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY05,away,Armstrong,8,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1573,Kr_Armstr_FLOR_34,4210,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA03AWAY05,away,Armstrong,8,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1563,Th_Dillar_OMSS_06,4123,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA04HOME01,home,Dillard,4,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1574,Th_Dillar_OMSS_06,4211,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA04HOME01,home,Dillard,4,NA,NA,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1564,Co_Zabows_OMSS_14,4124,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA04HOME02,home,Zabowski,5,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,hard,line drive,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1575,Co_Zabows_OMSS_14,4212,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA04HOME02,home,Zabowski,5,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to lf,hard,line drive,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,Co_Johnso_OMSS_13,4125,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA04HOME03,home,Johnson,6,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to rf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1576,Co_Johnso_OMSS_13,4213,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA04HOME03,home,Johnson,6,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to rf,medium,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,Sa_Miozzi_FLOR_05,4126,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY01,away,Miozzi,9,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1577,Sa_Miozzi_FLOR_05,4214,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY01,away,Miozzi,9,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,soft,ground ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,Br_Mcconn_FLOR_13,4127,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY02,away,Mcconnell,1,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,third base,medium,ground ball,1,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1578,Br_Mcconn_FLOR_13,4215,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY02,away,Mcconnell,1,NA,NA,-1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,third base,medium,ground ball,1,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1579,Co_Acton0_FLOR_22,4216,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY03,away,Acton,2,NA,NA,-1,-1,-1,-1,-1,-1,1,1,2,0,1,0,0,doubled to right field,hard,fly ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3090,Co_Acton0_FLOR_22,4128,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY03,away,Acton,2,NA,NA,-1,-1,-1,-1,-1,-1,1,1,2,0,1,0,0,doubled to right field,hard,fly ball,0,0,NA,NA,NA,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1580,Ne_Maldon_FLOR_27,4217,FLOR_OMSS_0406201902,FLOR_OMSS_0406201902_PA05AWAY04,away,Maldonado,3,NA,NA,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 2b,soft,fly ball,0,NA,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
