GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE,bostartOuts,bostartOnFirst,bostartOnSecond,bostartOnThird,bostartBaseState,bostartBaseOutState,boendOuts,boendOnFirst,boendOnSecond,boendOnThird,boendBaseState,boendBaseOutState
2019022202,2019022202Home0806b,home,Lovell,6,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,1,Thomason,Hill,Lovell,H,H1,1,Thomason,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,Thomason,H,H1
2019022202,2019022202Home0807b,home,NA,0,advanced,0,3,3,0,0,0,NA,NA,0,0,0,0,0,0,1,Thomason,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,Thomason,H,H1,1,Kerr,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,NA,E,E1
2019022202,2019022202Home0807b,home,Thomason,9,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0,1,Thomason,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,Thomason,H,H1,1,Kerr,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,NA,E,E1
2019022202,2019022202Home0808b,home,Kerr,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,1,Kerr,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,NA,E,E1,1,Bodine,Kerr,NA,E,E1
2019022202,2019022202Home0808b,home,NA,0,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,1,Kerr,ERROR: name not in batting order, ts: LUDWICK, C. doubled to left center, 2 RBI (1-2 KBKF);,NA,E,E1,1,Bodine,Kerr,NA,E,E1
2019022202,2019022202Home0809b,home,Bodine,3,out,1,0,-1,0,0,1,ss,2b,0,0,0,0,0,0,1,Bodine,Kerr,NA,E,E1,2,Brewer,Kerr,NA,E,E2
2019022202,2019022202Home0809b,home,Kerr,2,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0,1,Bodine,Kerr,NA,E,E1,2,Brewer,Kerr,Kerr,H,H2
2019022202,2019022202Home08010b,home,Brewer,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Brewer,Kerr,Kerr,H,H2,2,Botsoe,Brewer,Kerr,H,H2
2019022202,2019022202Home08011b,home,Botsoe,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Botsoe,Brewer,Kerr,H,H2,2,Lovell,Botsoe,Kerr,H,H2
2019022202,2019022202Home08011b,home,Brewer,4,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0,2,Botsoe,Brewer,Kerr,H,H2,2,Lovell,Botsoe,Kerr,H,H2
2019022202,2019022202Home08011b,home,Kerr,2,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,2,Botsoe,Brewer,Kerr,H,H2,2,Lovell,Botsoe,Kerr,H,H2
2019022202,2019022202Home08012b,home,Lovell,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Lovell,Botsoe,Kerr,H,H2,2,Conklin,Lovell,Kerr,H,H2
2019022202,2019022202Home08012b,home,Botsoe,5,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Lovell,Botsoe,Kerr,H,H2,2,Conklin,Lovell,Botsoe,H,H2
