GameID,PlateAppID,HomeAway,BatterName,BatterHole,CountBalls,CountStrikes,pitchBalls,pitchFouls,pitchKSwing,pitchKLook,pitchBIPs,Pitches,BIP,H,Bases,Singles,Doubles,Triples,HR,HitLocation,HitQuality,HitType,INFH,FO,FOLocation,FOQuality,FOType,DP,DPType,Reach,RBOE,FC,SAC,SF,BB,IBB,UBB,SO,KSwing,KLook,UCTS,SOReach,HBP,TrueOutcome,BasesAdded,RunsAdded,OutsAdded,bostartOuts,bostartOnFirst,bostartOnSecond,bostartOnThird,bostartBaseState,bostartBaseOutState,boendOuts,boendOnFirst,boendOnSecond,boendOnThird,boendBaseState,boendBaseOutState
2019030101,2019030101Home0604b,home,Lovell,6,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to p,medium,fly ball,0,NA,False,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Johnson,Johnson,Howie,H,H2,3,Johnson,Johnson,Howie,H,H3
2019030101,2019030101Home0605b,home,Harris,7,0,2,0,0,2,1,0,3,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,3,Johnson,Johnson,Johnson,H,H3,4,Johnson,Johnson,Johnson,H,H4
2019030101,2019030101Home0701b,home,Thomason,8,1,2,1,1,0,2,0,4,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1
2019030101,2019030101Home0702b,home,Brewer,9,1,2,1,0,0,2,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,1,to cf,medium,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2
2019030101,2019030101Home0703b,home,Kerr,1,0,1,0,0,1,0,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 2b,soft,fly ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3
2019030101,2019030101Home0801b,home,Lewis,2,3,2,4,2,0,1,0,7,0,0,1,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,NA,NA,NA,A,A0,0,Lewis,NA,NA,B,B0
2019030101,2019030101Home0802b,home,Howie,3,2,2,2,1,1,1,0,5,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,Lewis,NA,NA,B,B0,1,Lewis,NA,NA,B,B1
2019030101,2019030101Home0803b,home,Johnson,4,1,2,1,0,0,2,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 2b,hard,line drive,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Lewis,NA,NA,B,B1,2,Lewis,NA,NA,B,B2
2019030101,2019030101Home0805b,home,ERROR: name not in batting order, ts: WEAVER, L. lined out to ss (1-2 KSB).,0,1,2,1,0,1,1,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,1,to ss,hard,line drive,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Lewis,NA,NA,B,B2,3,Lewis,NA,NA,B,B3
2019030101,2019030101Home0902b,home,Lovell,6,0,1,0,0,0,1,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,1,to 3b,soft,ground ball,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1
2019030101,2019030101Home0903b,home,Harris,7,1,1,1,0,1,0,1,3,1,1,1,1,0,0,0,right field,hard,fly ball,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,A,A1,1,Harris,NA,NA,B,B1
2019030101,2019030101Home0904b,home,Thomason,8,3,2,3,0,1,1,1,6,1,1,1,1,0,0,0,center field,hard,fly ball,0,0,,,,0,NA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Harris,NA,NA,B,B1,1,Thomason,NA,NA,B,B1
2019030101,2019030101Home0905b,home,Brewer,9,1,2,1,1,1,1,0,4,0,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,False,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,Thomason,Harris,NA,E,E1,2,Thomason,Harris,NA,E,E2
2019030101,2019030101Home0907b,home,Kerr,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,0,,,,0,NA,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,Thomason,Harris,NA,E,E2,2,Kerr,Harris,NA,E,E2
